Processes: 489 total, 2 running, 487 sleeping, 1985 threads 
2021/10/07 17:24:15
Load Avg: 1.21, 1.15, 1.16 
CPU usage: 5.38% user, 21.53% sys, 73.7% idle 
SharedLibs: 566M resident, 95M data, 70M linkedit.
MemRegions: 121423 total, 8138M resident, 145M private, 1312M shared.
PhysMem: 15G used (1521M wired), 151M unused.
VM: 186T vsize, 3271M framework vsize, 202398(0) swapins, 220064(0) swapouts.
Networks: packets: 14242524/14G in, 11497138/2452M out.
Disks: 7668186/157G read, 3428114/65G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW  POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
99507  DiskUnmountWatch 0.0  00:00.01 2     1   23     1345K 0B    1152K 99507 1    sleeping  0[0]        0.00000 0.00000    501 392       55     104       37        443       223       87        3       0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
95482  package_script_s 0.0  00:00.06 2     1   29     2513K 0B    2256K 95482 1    sleeping *0[12]       0.00000 0.00000    0   1013      89     451       197       3448      1063      724       0       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
94843  UserNotification 0.0  00:05.84 3     1   194    16M   0B    7776K 94843 1    sleeping *0[1]        0.00000 0.00000    501 11377     148    152200    66009     47079     167899    58051     81      1      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
94655  knowledge-agent  0.0  02:28.33 2     1   824    14M   0B    5424K 94655 1    sleeping *1367[72]    0.00000 0.00000    501 65616     127    296830    87703     2049261   4625192   412634    6       10     0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
93814  IMRemoteURLConne 0.0  00:00.44 3     1   73     3905K 0B    3088K 93814 1    sleeping *0[61]       0.00000 0.00000    501 2929      83     1762      1336      20049     6831      14562     0       12     0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
93813  VTEncoderXPCServ 0.0  01:31.40 2     1   66     13M   0B    11M   93813 1    sleeping *0[338]      0.00000 0.00000    501 59422     111    1902873   471748    718608    1013902   520908    16      52     0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
93811  avconferenced    0.0  02:23.32 3     1   106    11M   0B    8384K 93811 1    sleeping *0[1]        0.00000 0.00000    501 34670     452    1367581   628582    2799847   1662278   1491745   210     840    0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
93312  VTDecoderXPCServ 0.0  00:00.16 2     1   68     6546K 0B    5744K 93312 1    sleeping *0[16]       0.00000 0.00000    501 3094      92     7013      6262      3867      14598     4886      24      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
91775  ArchiveService   0.0  00:00.19 2     1   39     4913K 0B    4512K 91775 1    sleeping *0[1]        0.00000 0.00000    501 1857      70     286       210       6377      642       1378      4       0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
91614  com.apple.audio. 0.0  00:00.01 2     1   20     1713K 0B    1504K 91614 1    sleeping *0[2]        0.00000 0.00000    501 447       69     106       37        599       228       56        0       0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
91613  com.apple.toneli 0.0  00:00.01 2     1   28     1729K 0B    1504K 91613 1    sleeping *0[1]        0.00000 0.00000    501 413       58     137       38        526       297       67        0       0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
91612  SharingXPCHelper 0.0  00:00.07 2     1   38     4193K 0B    3872K 91612 1    sleeping *0[2]        0.00000 0.00000    501 1912      67     309       213       1461      813       428       1       0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
91309  aslmanager       0.0  00:00.00 2     1   12     929K  0B    736K  91309 1    sleeping *0[1]        0.00000 0.00000    0   203       38     43        21        200       100       25        1       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
91167  LocationMenu     0.0  00:50.68 4     2   152    8770K 0B    4336K 91167 1    sleeping *0[2149]     0.00000 0.00000    501 16915     123    244110    41435     248114    496614    232832    2       7      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
91067  CAReportingServi 0.0  00:01.77 2     1   34     3377K 0B    2848K 91067 1    sleeping *0[10]       0.00000 0.00000    0   2343      64     341646    170038    2877      172305    975       14      0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
91008  com.apple.audio. 0.0  00:00.00 2     1   12     1777K 0B    1584K 91008 1    sleeping *0[2]        0.00000 0.00000    501 448       68     92        34        554       192       31        0       0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
91005  CategoriesServic 0.0  00:00.65 2     1   51     5714K 0B    4848K 91005 1    sleeping *0[26]       0.00000 0.00000    501 4420      83     896       427       36989     1939      17722     0       27     0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
90969  QuickLookUIServi 0.0  00:01.45 3     1   133    6818K 0B    3120K 90969 1    sleeping  0[6090]     0.00000 0.00000    501 9102      120    39611     8608      35887     88384     43230     0       5      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
90968  com.apple.appkit 0.0  01:02.76 4     2   337    62M   0B    41M   90968 1    sleeping  0[11736]    0.00000 0.00000    501 300783    245    398648    204313    602717    760779    307396    92      21     0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
90967  com.apple.Safari 0.0  00:06.01 4     1   61     8770K 0B    7504K 90967 1    sleeping *0[1395]     0.00000 0.00000    501 5920      90     19520     6074      188264    36336     75802     0       25     0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
90965  webinspectord    0.0  00:03.50 2     1   54     3649K 0B    1904K 90965 1    sleeping *0[9079]     0.00000 0.00000    501 2051      76     56487     12216     73317     86060     32431     0       0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
90963  com.apple.Safari 0.0  00:01.44 3     1   166    10M   0B    6320K 90963 1    sleeping  0[6108]     0.00000 0.00000    501 9821      135    39801     8821      36973     88276     38516     0       6      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
90962  ImageIOXPCServic 0.0  00:06.80 2     1   32     5938K 0B    34M   90962 1    sleeping *0[55145]    0.00000 0.00000    501 20357     96     263153    73009     317593    208030    74069     0       0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
90961  com.apple.WebKit 0.0  07:31.68 10    1   173    252M  192K  208M  90961 1    sleeping *9129[2523]  0.00000 0.00000    501 803104    122    2253799   949578    16222728  13927776  5087604   83703   506    0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
90959  Safari           0.0  20:54.58 8     1   2671   313M  0B    212M  90959 1    sleeping *0[9389]     0.00000 0.00000    501 3959032   13107  22734345  8747214   21189360  62047285  20232755  868     7573   0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
90090  periodic-wrapper 0.0  00:00.01 2     1   23     1041K 0B    832K  90090 1    sleeping *0[1]        0.00000 0.00000    0   357       42     90        40        320       213       107       1       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
90087  DataDetectorsSou 0.0  00:00.10 2     1   26     2017K 0B    1776K 90087 1    sleeping  0[0]        0.00000 0.00000    257 864       64     86        36        814       233       63        0       0      0.0   0      0      _datadetectors         N/A    N/A   N/A   N/A   N/A   N/A  
90071  periodic-wrapper 0.0  00:00.01 2     1   23     993K  0B    784K  90071 1    sleeping *0[1]        0.00000 0.00000    0   354       42     90        40        313       208       94        1       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
89435  fontd            0.0  00:00.41 2     1   38     5585K 0B    5392K 89435 1    sleeping  0[0]        0.00000 0.00000    97  2973      60     308       241       4223      2113      1375      1       0      0.0   0      0      _atsserver             N/A    N/A   N/A   N/A   N/A   N/A  
89407  contactsdonation 0.0  00:16.77 3     2   91     8930K 0B    8512K 89407 1    sleeping *0[516]      0.00000 0.00000    501 13347     151    8605      4597      334625    105686    47700     77      1      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
89383  DPSubmissionServ 0.0  00:00.25 2     1   145    3233K 0B    2928K 89383 1    sleeping  0[0]        0.00000 0.00000    0   2956      73     871       467       3740      1518      1766      81      0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
89343  siriknowledged   0.0  00:00.52 2     1   42     4289K 0B    3920K 89343 1    sleeping *0[90]       0.00000 0.00000    501 5276      130    2945      994       12644     4446      4467      208     1      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
89268  IMRemoteURLConne 0.0  00:00.60 3     1   73     3730K 0B    2912K 89268 1    sleeping *0[91]       0.00000 0.00000    501 5208      83     2566      2104      28230     10362     18058     0       25     0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
89267  CallHistorySyncH 0.0  00:00.77 2     1   80     6130K 0B    5664K 89267 1    sleeping *0[365]      0.00000 0.00000    501 6824      122    4958      2218      15611     11759     7752      30      1      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
88971  VTDecoderXPCServ 0.0  00:02.85 2     1   67     6514K 0B    5296K 88971 1    sleeping *0[7]        0.00000 0.00000    501 10695     87     87217     32237     36569     82679     21673     8       0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
88970  com.apple.photos 0.0  03:04.27 2     1   76     14M   0B    16M   88970 1    sleeping *1[1]        0.00000 0.00000    501 166142    135    186424    12348323  9497823   21868003  10032100  5663    1      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
88952  SafariCloudHisto 0.0  00:16.15 4     3   49     3201K 0B    2032K 88952 1    sleeping *0[1]        0.00000 0.00000    501 1394      83     115006    910       796806    453167    598993    4       446    0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
88762  searchpartyusera 0.0  00:21.06 4     3   125    7634K 0B    4400K 88762 1    sleeping *0[353]      0.00000 0.00000    501 7351      174    7389      2810      864083    30206     180176    314     202    0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
88754  IMAutomaticHisto 0.0  00:00.26 2     1   64     3297K 0B    2944K 88754 1    sleeping  0[0]        0.00000 0.00000    501 6986      91     1891      936       7068      5192      3227      20      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
88752  transparencyd    0.0  00:04.23 3     1   72     6402K 0B    5520K 88752 1    sleeping *0[8]        0.00000 0.00000    501 13977     117    1841      1234      126246    24825     37867     212     26     0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
88733  iconservicesagen 0.0  00:00.04 2     1   27     2129K 0B    1840K 88733 1    sleeping *0[1]        0.00000 0.00000    0   538       64     81        27        555       180       38        18      0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
88732  storagekitd      0.0  00:45.55 7     3   80     7233K 0B    5312K 88732 1    sleeping *0[19793]    0.00000 0.00000    0   50686     89     866186    208005    1420006   1296189   1065297   68      397    0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
88714  EscrowSecurityAl 0.0  00:00.22 2     1   47     3153K 0B    2832K 88714 1    sleeping  0[0]        0.00000 0.00000    501 4090      92     978       193       3381      2190      1751      95      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
88713  tzd              0.0  00:00.63 2     1   56     2801K 0B    2464K 88713 1    sleeping *0[5]        0.00000 0.00000    0   2878      80     674       293       12893     1967      1707      6       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
88702  lskdd            0.0  00:07.50 3     1   35     3522K 0B    2912K 88702 1    sleeping *1[1]        0.00000 0.00000    265 2616      74     49079     24392     25343     25266     28221     1211    58     0.0   0      0      _fpsd                  N/A    N/A   N/A   N/A   N/A   N/A  
88451  studentd         0.0  00:15.60 2     1   139    16M   0B    10M   88451 1    sleeping *0[1]        0.00000 0.00000    501 35155     209    31800     8480      312995    175747    98386     14883   15     0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
88442  MTLCompilerServi 0.0  00:00.07 2     1   32     8034K 0B    7648K 88442 1    sleeping *0[3]        0.00000 0.00000    501 1082      77     145       39        907       302       67        35      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
88370  com.apple.AppSto 0.0  00:00.04 2     1   42     2529K 0B    2224K 88370 1    sleeping *0[11]       0.00000 0.00000    501 1391      64     988       412       1213      1270      362       0       0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
88366  cloudphotod      0.0  00:10.17 2     1   91     7010K 0B    6160K 88366 1    sleeping *0[2612]     0.00000 0.00000    501 19545     144    28589     8495      199037    89383     69322     2109    30     0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
88338  morphunassetsupd 0.0  00:00.06 2     1   39     2145K 0B    1856K 88338 1    sleeping *0[1]        0.00000 0.00000    0   1391      64     283       136       1446      648       716       0       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
87369  VTDecoderXPCServ 0.0  00:00.33 2     1   67     6274K 0B    5040K 87369 1    sleeping *0[13]       0.00000 0.00000    501 3980      88     9763      9042      6025      21060     6841      11      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87367  MTLCompilerServi 0.0  00:00.03 2     1   32     9010K 0B    8608K 87367 1    sleeping *0[3]        0.00000 0.00000    501 961       77     138       39        736       296       99        29      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87366  com.apple.WebKit 0.0  00:03.63 4     1   107    87M   0B    54M   87366 1    sleeping  0[2411]     0.00000 0.00000    501 26756     174    51992     28520     44176     125469    38763     37      17     0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87190  progressd        0.0  00:00.30 2     1   50     4754K 0B    4224K 87190 1    sleeping *0[333]      0.00000 0.00000    501 3830      101    1553      573       6100      3491      2330      131     0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87187  iCloudNotificati 0.0  00:00.73 4     1   86     7042K 0B    6192K 87187 1    sleeping *0[254]      0.00000 0.00000    501 6140      118    3194      1776      33125     9049      18831     46      24     0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87184  avatarsd         0.0  00:00.54 2     1   63     11M   0B    11M   87184 1    sleeping *0[7]        0.00000 0.00000    501 8560      479    1363      595       10144     3412      3949      456     1      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87182  mdworker         0.0  00:04.03 2     1   41     2865K 0B    2544K 87182 1    sleeping *0[1]        0.00000 0.00000    89  3898      84     480       299       91771     1158      9543      14      0      0.0   0      0      _spotlight             N/A    N/A   N/A   N/A   N/A   N/A  
87181  mdworker         0.0  00:01.59 2     1   47     2689K 0B    2320K 87181 1    sleeping *0[1]        0.00000 0.00000    501 3109      85     414       273       25841     1093      3136      20      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87178  com.apple.BKAgen 0.0  00:00.08 2     1   51     2849K 0B    2480K 87178 1    sleeping  0[0]        0.00000 0.00000    501 3238      85     502       317       2097      1271      1146      39      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87177  PodcastContentSe 0.0  00:00.08 2     1   40     3121K 0B    2720K 87177 1    sleeping *0[7]        0.00000 0.00000    501 2992      104    372       297       2196      807       803       60      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87176  media-indexer    0.0  00:00.63 2     1   83     6849K 0B    6448K 87176 1    sleeping *0[263]      0.00000 0.00000    501 6260      89     4030      1189      10688     8924      5711      132     1      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87162  TVCacheExtension 0.0  00:00.18 2     1   49     3169K 0B    2816K 87162 1    sleeping *0[1]        0.00000 0.00000    501 3415      104    1175      498       11073     2333      1520      11      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87161  MusicCacheExtens 0.0  00:00.80 2     1   49     3313K 0B    2944K 87161 1    sleeping *0[1]        0.00000 0.00000    501 3740      104    1243      513       72580     2446      3190      13      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87160  CacheDeleteExten 0.0  00:00.21 3     1   55     4753K 0B    4400K 87160 1    sleeping *0[1]        0.00000 0.00000    501 4493      125    1384      545       6111      3046      1892      0       0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87159  installd         0.0  09:28.44 2     1   110    185M  0B    185M  87159 1    sleeping *0[56]       0.00000 0.00000    0   123332    1249   48554     19891     18673916  42181     1654938   25      0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
87158  storedownloadd   0.0  00:00.15 2     1   39     3521K 0B    3152K 87158 1    sleeping *0[2]        0.00000 0.00000    501 3338      94     436       300       2189      1077      1942      56      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87157  MailCacheDelete  0.0  00:00.16 2     1   47     3153K 0B    2800K 87157 1    sleeping *0[1]        0.00000 0.00000    501 3379      105    1163      499       3554      2370      1870      19      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87155  sysdiagnose      0.0  00:00.07 2     1   28     2241K 0B    1920K 87155 1    sleeping *0[1]        0.00000 0.00000    0   1884      68     372       306       2484      751       1039      22      0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
87154  cloudd           0.0  00:01.00 2     1   84     5073K 0B    2816K 87154 1    sleeping *0[88]       0.00000 0.00000    0   9760      98     6142      2438      24101     15439     12956     22      2      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
87153  symptomsd-diag   0.0  00:00.29 2     1   55     3777K 0B    3392K 87153 1    sleeping *0[4]        0.00000 0.00000    0   4553      86     849       511       4584      2406      2523      252     0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
87152  replayd          0.0  00:00.14 2     1   39     3377K 0B    3040K 87152 1    sleeping  0[0]        0.00000 0.00000    501 2295      90     279       124       1695      595       1023      65      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87151  deleted_helper   0.0  00:00.60 2     1   19     2001K 0B    1744K 87151 1    sleeping *0[40]       0.00000 0.00000    0   1939      59     1044      454       3488      1686      3346      1       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
87150  deleted          0.0  00:10.09 2     1   130    4370K 0B    3936K 87150 1    sleeping *0[124]      0.00000 0.00000    501 19729     83     174446    81116     133506    168403    36606     95      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87147  microstackshot   0.0  00:00.11 2     1   28     1937K 0B    1648K 87147 1    sleeping  0[0]        0.00000 0.00000    0   3063      73     666       399       3978      1742      1304      8       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
87140  nbstated         0.0  00:00.11 2     1   33     2561K 0B    2272K 87140 1    sleeping  0[0]        0.00000 0.00000    0   2427      53     350       263       1520      914       854       8       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
87077  nbagent          0.0  00:03.08 4     1   186    8226K 0B    4608K 87077 1    sleeping *0[5180]     0.00000 0.00000    501 17167     143    39165     8544      89813     81149     62691     71      29     0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87076  periodic-wrapper 0.0  00:00.03 2     1   23     1073K 0B    864K  87076 1    sleeping *0[1]        0.00000 0.00000    0   768       53     148       74        554       383       318       4       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
87067  localizationswit 0.0  00:00.08 2     1   41     2241K 0B    1936K 87067 1    sleeping *0[9]        0.00000 0.00000    501 2699      76     556       378       2462      1246      975       22      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87065  MTLCompilerServi 0.0  00:00.08 2     1   30     8194K 0B    7792K 87065 1    sleeping *0[3]        0.00000 0.00000    501 2552      77     295       259       1812      700       562       45      0      0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
87062  system_installd  0.0  00:00.50 2     1   103    6929K 0B    6544K 87062 1    sleeping *0[26]       0.00000 0.00000    0   4220      99     3087      1556      7854      3728      1967      14      0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
87060  photoanalysisd   0.0  02:32.12 3     1   138    26M   0B    20M   87060 1    sleeping *0[5529]     0.00000 0.00000    501 100284    237    36582     15061     1877892   879797    250817    2825    40     0.0   0      0      macpardis              N/A    N/A   N/A   N/A   N/A   N/A  
